 =============== Calibration Condition Section =============== 
RefNum = 1
Radius1 = 00800
Radius2 = 00000

 ================= Calibration Data Section ================== 
WORKINGDISTANCE	=	30000

------------- Distance from center of Placido --------------- 
angle	Ring0	Ring1	Ring2	Ring3	Ring4	Ring5	Ring6	Ring7	Ring8	Ring9	Ring10	Ring11	Ring12	Ring13	Ring14	Ring15	Ring16	Ring17	Ring18	Ring19	Ring20	Ring21	Ring22	Ring23	Ring24	Ring25	Ring26	Ring27	Ring28	Ring29	Ring30	Ring31	Ring32	Ring33	Ring34	Ring35	Ring36	Ring37	Ring38	
   40	      0	   1283	   1550	   1819	   2094	   2372	   2644	   2915	   3191	   3472	   3747	   4019	   4297	   4580	   4861	   5137	   5418	   5700	   6020	   6345	   6625	   6905	   7186	   7461	   7745	   8031	   8307	   8586	   8861	   9134	   9405	   9669	   9929	  10190	      0	      0	      0	      0	      0	
   41	      0	   1283	   1550	   1819	   2094	   2372	   2644	   2914	   3190	   3472	   3746	   4019	   4296	   4580	   4860	   5137	   5418	   5700	   6020	   6345	   6625	   6905	   7186	   7462	   7746	   8031	   8307	   8586	   8862	   9134	   9405	   9669	   9929	  10190	      0	      0	      0	      0	      0	
   42	      0	   1283	   1550	   1819	   2094	   2371	   2643	   2914	   3190	   3472	   3746	   4019	   4296	   4580	   4860	   5137	   5418	   5700	   6020	   6345	   6625	   6905	   7186	   7462	   7746	   8031	   8307	   8586	   8862	   9135	   9405	   9669	   9929	  10190	      0	      0	      0	      0	      0	
   43	      0	   1283	   1550	   1819	   2094	   2371	   2643	   2914	   3190	   3472	   3746	   4019	   4296	   4579	   4860	   5137	   5418	   5700	   6020	   6345	   6625	   6905	   7186	   7463	   7746	   8031	   8307	   8586	   8862	   9135	   9406	   9670	   9930	  10190	      0	      0	      0	      0	      0	
   44	      0	   1283	   1550	   1819	   2094	   2371	   2643	   2914	   3190	   3472	   3746	   4019	   4296	   4579	   4860	   5138	   5418	   5700	   6020	   6345	   6625	   6905	   7187	   7463	   7747	   8031	   8308	   8587	   8862	   9136	   9407	   9670	   9929	  10190	      0	      0	      0	      0	      0	
   45	      0	   1282	   1550	   1818	   2094	   2371	   2643	   2914	   3190	   3472	   3747	   4019	   4296	   4579	   4860	   5138	   5418	   5700	   6020	   6345	   6625	   6906	   7187	   7463	   7747	   8032	   8308	   8587	   8863	   9136	   9407	   9671	   9933	  10195	      0	      0	      0	      0	      0	
   46	      0	   1282	   1550	   1818	   2093	   2371	   2643	   2914	   3190	   3472	   3747	   4019	   4296	   4579	   4860	   5138	   5418	   5701	   6021	   6345	   6625	   6906	   7188	   7464	   7748	   8032	   8309	   8588	   8863	   9137	   9408	   9671	      0	      0	      0	      0	      0	      0	      0	
   47	      0	   1282	   1549	   1818	   2093	   2371	   2643	   2914	   3190	   3472	   3747	   4020	   4296	   4579	   4860	   5138	   5419	   5701	   6021	   6346	   6626	   6907	   7188	   7465	   7748	   8033	   8309	   8588	   8863	   9138	   9409	   9671	      0	      0	      0	      0	      0	      0	      0	
   48	      0	   1282	   1549	   1818	   2093	   2371	   2643	   2914	   3190	   3471	   3747	   4020	   4296	   4579	   4860	   5138	   5419	   5701	   6021	   6346	   6626	   6907	   7189	   7465	   7749	   8033	   8310	   8588	   8864	   9138	   9409	   9672	      0	      0	      0	      0	      0	      0	      0	
   49	      0	   1282	   1549	   1818	   2094	   2371	   2643	   2914	   3190	   3471	   3747	   4020	   4297	   4579	   4860	   5138	   5419	   5701	   6021	   6346	   6626	   6907	   7189	   7466	   7749	   8033	   8310	   8589	   8864	   9139	   9410	   9673	      0	      0	      0	      0	      0	      0	      0	
   50	      0	   1282	   1549	   1818	   2094	   2372	   2643	   2914	   3191	   3471	   3747	   4021	   4297	   4579	   4860	   5138	   5419	   5701	   6021	   6346	   6626	   6908	   7189	   7466	   7750	   8034	   8311	   8590	   8865	   9139	   9411	   9673	      0	      0	      0	      0	      0	      0	      0	
   51	      0	   1282	   1549	   1818	   2094	   2372	   2643	   2915	   3191	   3471	   3747	   4021	   4297	   4579	   4860	   5138	   5419	   5701	   6021	   6347	   6627	   6908	   7190	   7467	   7750	   8035	   8312	   8591	   8865	   9140	   9411	   9674	      0	      0	      0	      0	      0	      0	      0	
   52	      0	   1282	   1549	   1818	   2094	   2372	   2643	   2915	   3192	   3471	   3747	   4021	   4297	   4579	   4860	   5138	   5420	   5702	   6022	   6347	   6627	   6909	   7190	   7468	   7751	   8035	   8313	   8592	   8866	   9140	   9412	   9674	      0	      0	      0	      0	      0	      0	      0	
   53	      0	   1282	   1549	   1818	   2094	   2372	   2643	   2915	   3192	   3471	   3747	   4022	   4297	   4579	   4860	   5138	   5420	   5702	   6022	   6347	   6628	   6909	   7190	   7468	   7752	   8036	   8313	   8593	   8867	   9141	   9413	   9675	      0	      0	      0	      0	      0	      0	      0	
   54	      0	   1282	   1549	   1818	   2095	   2372	   2643	   2916	   3193	   3471	   3747	   4022	   4297	   4579	   4860	   5139	   5421	   5702	   6022	   6347	   6628	   6910	   7191	   7469	   7752	   8036	   8314	   8593	   8867	   9142	   9414	   9675	      0	      0	      0	      0	      0	      0	      0	
